value,assessor_size,size,metric
0.5011216343447092,large,2m,roc_auc-absolute-self
0.4759097778537209,large,16m,roc_auc-absolute-self
0.468595492170044,large,53m,roc_auc-absolute-self
0.4601594998589919,large,125m,roc_auc-absolute-self
0.4790569319340869,large,244m,roc_auc-absolute-self
0.4851501344381004,large,422m,roc_auc-absolute-self
0.471797944343455,large,1b,roc_auc-absolute-self
0.445550604257972,large,2b,roc_auc-absolute-self
0.4908407350951504,large,4b,roc_auc-absolute-self
0.4686668720956842,large,8b,roc_auc-absolute-self
0.4817142766815767,large,27b,roc_auc-absolute-self
0.4865792106036955,large,128b,roc_auc-absolute-self
0.5657479964240099,large,2m,roc_auc-normalised-self
0.6259475717407685,large,16m,roc_auc-normalised-self
0.6314662827339648,large,53m,roc_auc-normalised-self
0.6271327272192784,large,125m,roc_auc-normalised-self
0.6323998485680623,large,244m,roc_auc-normalised-self
0.6284988716147961,large,422m,roc_auc-normalised-self
0.6133086651202246,large,1b,roc_auc-normalised-self
0.6411329359920831,large,2b,roc_auc-normalised-self
0.6052243166376258,large,4b,roc_auc-normalised-self
0.6450809525127099,large,8b,roc_auc-normalised-self
0.6297261132055706,large,27b,roc_auc-normalised-self
0.6124113740848466,large,128b,roc_auc-normalised-self
0.7232175280532313,large,2m,roc_auc-task-static
0.7238197782864692,large,16m,roc_auc-task-static
0.7137725210838768,large,53m,roc_auc-task-static
0.7136759800385519,large,125m,roc_auc-task-static
0.7107813647181446,large,244m,roc_auc-task-static
0.7206443000443947,large,422m,roc_auc-task-static
0.7087186304029087,large,1b,roc_auc-task-static
0.7237709373728569,large,2b,roc_auc-task-static
0.6967979897417771,large,4b,roc_auc-task-static
0.7078248157149573,large,8b,roc_auc-task-static
0.7137115920851594,large,27b,roc_auc-task-static
0.7163531782595858,large,128b,roc_auc-task-static
0.0030003215055347,large,2m,bs_mcb
0.0027385815436695,large,16m,bs_mcb
0.0059611634571019,large,53m,bs_mcb
0.0042240142065017,large,125m,bs_mcb
0.0023942734093914,large,244m,bs_mcb
0.0027351526820776,large,422m,bs_mcb
0.0038838688456999,large,1b,bs_mcb
0.0024996591099032,large,2b,bs_mcb
0.0042456469483246,large,4b,bs_mcb
0.0030208571400314,large,8b,bs_mcb
0.0083307465719443,large,27b,bs_mcb
0.0016461970127184,large,128b,bs_mcb
0.0976049722931169,large,2m,bs_mcb-absolute-self
0.0858385158759406,large,16m,bs_mcb-absolute-self
0.0798030299709807,large,53m,bs_mcb-absolute-self
0.0804312135247956,large,125m,bs_mcb-absolute-self
0.0849154631288939,large,244m,bs_mcb-absolute-self
0.0952043603607827,large,422m,bs_mcb-absolute-self
0.0869936711866404,large,1b,bs_mcb-absolute-self
0.0975942442117129,large,2b,bs_mcb-absolute-self
0.0834802641787802,large,4b,bs_mcb-absolute-self
0.0815867407428974,large,8b,bs_mcb-absolute-self
0.0779506157992458,large,27b,bs_mcb-absolute-self
0.0828357661226028,large,128b,bs_mcb-absolute-self
0.1877462086314121,large,2m,bs_mcb-normalised-self
0.117699681215713,large,16m,bs_mcb-normalised-self
0.1118331392631485,large,53m,bs_mcb-normalised-self
0.1185887728348425,large,125m,bs_mcb-normalised-self
0.1040762313173954,large,244m,bs_mcb-normalised-self
0.0943987422239938,large,422m,bs_mcb-normalised-self
0.0952539243581137,large,1b,bs_mcb-normalised-self
0.0812878591531372,large,2b,bs_mcb-normalised-self
0.0959697084690252,large,4b,bs_mcb-normalised-self
0.0938872990301286,large,8b,bs_mcb-normalised-self
0.0919396936220788,large,27b,bs_mcb-normalised-self
0.1014761651797331,large,128b,bs_mcb-normalised-self
0.0,large,2m,bs_mcb-task-static
0.0,large,16m,bs_mcb-task-static
0.0,large,53m,bs_mcb-task-static
0.0,large,125m,bs_mcb-task-static
0.0,large,244m,bs_mcb-task-static
0.0,large,422m,bs_mcb-task-static
0.0,large,1b,bs_mcb-task-static
0.0,large,2b,bs_mcb-task-static
0.0,large,4b,bs_mcb-task-static
0.0,large,8b,bs_mcb-task-static
0.0,large,27b,bs_mcb-task-static
0.0,large,128b,bs_mcb-task-static
